NAICS,Industry,"Occupation Jobs in Industry (2024)","Occupation Jobs in Industry (2029)","Change (2024 - 2029)","% Change (2024 - 2029)","% of Occupation in Industry (2024)","% of Total Jobs in Industry (2024)"
531,"Real Estate",1492.07680925,1546.47867721,54.4018679561,0.0364605009734,0.112626715016,0.0157456913342
903,"Local Government",1371.06910727,1428.98270818,57.9136009036,0.042239738753,0.10349266784,0.00294476671122
811,"Repair and Maintenance",1352.27423046,1344.53553464,-7.73869581065,-0.00572272667508,0.102073970611,0.0265294216744
488,"Support Activities for Transportation",944.975667042,998.842860125,53.8671930827,0.0570037885222,0.0713297763822,0.016443502324
441,"Motor Vehicle and Parts Dealers",884.078349957,867.468955465,-16.6093944916,-0.0187872426606,0.0667330527189,0.0197913107572
238,"Specialty Trade Contractors",757.324537118,775.867262483,18.5427253653,0.0244845168174,0.0571652707741,0.00564814493534
423,"Merchant Wholesalers, Durable Goods",635.600734155,605.584708622,-30.0160255327,-0.0472246552274,0.0479771700128,0.00678471797817
561,"Administrative and Support Services",431.164924665,452.38231112,21.2173864548,0.049209444556,0.0325457032735,0.00142227452787
221,Utilities,371.552877875,357.869670888,-13.6832069877,-0.0368270784658,0.0280459959101,0.0295687312621
901,"Federal Government",276.001328139,269.629494744,-6.37183339458,-0.0230862417857,0.020833460272,0.00427249430252
532,"Rental and Leasing Services",251.76939739,263.846219525,12.0768221345,0.0479677921927,0.0190043568761,0.0115981095357
721,Accommodation,230.374360853,264.689334766,34.3149739124,0.148953094369,0.0173893913007,0.00473210657023
517,Telecommunications,209.409823118,163.445107422,-45.9647156954,-0.219496463972,0.0158069211475,0.0160387579439
611,"Educational Services",208.357525895,212.460533013,4.10300711815,0.0196921474304,0.0157274903979,0.00115726731463
623,"Nursing and Residential Care Facilities",203.365134166,228.253799875,24.8886657092,0.122384133402,0.0153506487521,0.00209203980525
237,"Heavy and Civil Engineering Construction",201.430389686,206.754322905,5.32393321822,0.0264306355486,0.0152046080698,0.0112377777072
336,"Transportation Equipment Manufacturing",185.003694484,196.535846774,11.5321522901,0.0623347134891,0.0139646687398,0.00299208690552
311,"Food Manufacturing",179.811003732,175.906821767,-3.90418196487,-0.0217126976873,0.0135727078851,0.00442357289637
541,"Professional, Scientific, and Technical Services",167.068405427,171.104037868,4.03563244132,0.0241555692772,0.0126108559355,0.000447481657102
902,"State Government",165.125499513,180.000488093,14.8749885806,0.0900829285876,0.0124641992022,0.00165856745402
481,"Air Transportation",150.051334834,165.104008949,15.0526741155,0.100316829119,0.0113263531886,0.00430941910471
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",133.952127209,132.688610311,-1.26351689856,-0.00943260047364,0.0101111336651,0.00190605695873
424,"Merchant Wholesalers, Nondurable Goods",132.605697336,128.250369447,-4.35532788968,-0.0328441988328,0.0100095008453,0.0013942141772
332,"Fabricated Metal Product Manufacturing",123.624678834,114.507464427,-9.1172144072,-0.073749145342,0.00933158493294,0.00335767718777
455,"General Merchandise Retailers",123.320550516,122.174031456,-1.14651905987,-0.00929706407472,0.00930862835775,0.00168562843896
484,"Truck Transportation",122.56345148,135.649311094,13.0858596139,0.106768041009,0.00925148010857,0.00264851368245
551,"Management of Companies and Enterprises",113.005811789,113.84185834,0.836046551564,0.00739826154364,0.00853003899034,0.00178320353327
325,"Chemical Manufacturing",105.228035411,101.424006163,-3.80402924756,-0.0361503399043,0.00794294763005,0.00546080404524
713,"Amusement, Gambling, and Recreation Industries",98.1114145748,106.151621566,8.04020699144,0.0819497611596,0.00740576239817,0.00204307787374
449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",76.2232295913,67.6889820557,-8.53424753565,-0.111963866939,0.00575357240562,0.00304626637993
624,"Social Assistance",72.0484292467,82.9954167906,10.9469875439,0.151939294977,0.00543844516435,0.000197076801
622,Hospitals,68.5436374526,72.2932397901,3.74960233749,0.0547038715313,0.00517389230478,0.000556491876014
334,"Computer and Electronic Product Manufacturing",68.2373981273,55.8361175208,-12.4012806065,-0.181737301639,0.00515077638407,0.00241077150662
459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",65.5517007021,62.2119281936,-3.33977250844,-0.0509486782595,0.00494805137913,0.001366241319
236,"Construction of Buildings",64.6505353053,65.9814429545,1.33090764921,0.0205861814279,0.00488002854164,0.00100194186815
326,"Plastics and Rubber Products Manufacturing",63.948212574,60.0914339721,-3.85677860191,-0.0603109679953,0.00482701498254,0.00550541408126
482,"Rail Transportation",63.0194522304,60.2162094765,-2.80324275384,-0.0444821821617,0.00475690919047,0.0312563629715
562,"Waste Management and Remediation Services",62.0140582762,68.2711283216,6.25707004542,0.100897606436,0.00468101884913,0.0040381511451
333,"Machinery Manufacturing",57.8735497191,54.3680324822,-3.50551723688,-0.0605720100787,0.00436848006132,0.00433380904198
324,"Petroleum and Coal Products Manufacturing",52.9659663416,53.1006932825,0.134726940877,0.00254365114399,0.00399804002027,0.00972612424863
493,"Warehousing and Storage",52.1241602552,53.8913954618,1.76723520658,0.0339043391381,0.00393449781279,0.00235769130707
621,"Ambulatory Health Care Services",50.2515469194,55.0632575159,4.81171059653,0.0957524870677,0.00379314698741,0.000171305236857
339,"Miscellaneous Manufacturing",49.8030626381,47.7247454626,-2.07831717547,-0.0417307102291,0.00375929396388,0.00257821294996
711,"Performing Arts, Spectator Sports, and Related Industries",48.0784385208,52.932278776,4.85384025519,0.100956695028,0.00362911383658,0.000564398458486
