Company,"Unique Postings from Aug 2024 - Jul 2025"
Aramark,7
Canon,7
Pls,7
Athleta,7
Swarovski,7
"Hugo Boss",7
Vince.,7
Veralto,7
"Savers And Value Village",6
Rebel,6
"World Market",6
"Otb S.p.a.",6
"Liberated Brands",6
Tenshoppe,6
REI,6
Stance,6
Reformation,6
Banter,6
"Good Feet",6
"Food 4 Less",6
"XPO Logistics",6
"Mcm Worldwide",6
Netflix,6
"Loro Piana",6
"The Hair Shop",6
"PLS Financial Services",6
"Childrens Hospital Los Angeles",6
"Marine Layer",6
"Zale Delaware",6
"Ricoh Electronics",6
"Peets Coffee",6
"Capital One",6
"Restaurant Depot",6
"Quest Diagnostics",6
Newegg,6
It'Sugar,6
"TTH V Opco",6
Rothy's,6
"Barnes & Noble Education",6
"Kiehl's Since 1851",6
"Klatch Coffee",6
"MY Wireless Gla",6
"Cal Poly Pomona Foundation",6
"New Balance Athletics",6
"Catalyst Cannabis",6
"Rack Attack USA",6
"Trillium Property Management",6
"Louis Vuitton",6
"Cg Systems",6
"Retail Odyssey",6
L'Occitane,6
Cider,6
"Keck Medical Center Of Usc",6
"Monsieur Marcel Gourmet Market & Restaurant",5
"Coast One Tax Group",5
"Outlandish Digital",5
"Driven Talent",5
"Allied Universal",5
"University of California-Los Angeles",5
"Columbia Sportswear",5
"Cole Haan",5
Target,5
Barry's,5
Mattel,5
Belk,5
Canteen,5
Aveda,5
"Prime Pizza",5
Nissan,5
Framebridge,5
"Windsor Fashions",5
"Kate Spade",5
"Dg Premium Brands",5
"Cozy Earth",5
Delta-Galil,5
"Dick Blick Holdings",5
"Jersey Mike's Subs",5
Bluemercury,5
"Parachute Home",5
"Pottery Barn",5
"United Wireless",5
"Safelite AutoGlass",5
"Bristol Farms",5
"Recreational Equipment",5
"West Marine",5
"Crossroads Trading",5
"Tnt Self Storage Management",5
"Saje Natural Wellness",5
"Western Dental Orthodontics",5
"Blick Art Materials",5
"Andronico's Community Markets",5
"Tarzana Treatment Centers",5
"Gold Flora",5
"Eddie Bauer",5
Loveshackfancy,5
"Reyes Holdings",5
Tumi,5
"Travis Mathew",5
"FLIK Hospitality Group",5
"Saugus Union School District",5
CBRE,5
"Department Of Motor Vehicles",5
Carlo,5
"Princess Polly",5
"Roller Rabbit",5
Hallmark,5
Revolve,5
"Lax Wireless",5
"Zadig & Voltaire",5
"Energy Time",5
"United Legwear & Apparel",5
"Super King Market",5
Crocs,5
"Lovesac Furniture Co.",4
"The North Face",4
"Sonrava Health",4
Pico,4
Cb2,4
Erewhon,4
Away,4
"Azusa Pacific University",4
Heytea,4
Catbird,4
Caliva,4
"Honey Birdette",4
"Benefit Cosmetics",4
Coastal,4
Talbots,4
Nestlé,4
"California State Polytechnic University-Pomona",4
"Zwilling J. A. Henckels",4
"Charlotte Russe",4
Callaway,4
"Straight Forwarding",4
Yogurtland,4
"Savage X LTD",4
TopGolf,4
"Jm Eagle",4
"St. Francis Medical Center",4
"Alice + Olivia",4
"Puma North America",4
"Fast Retailing",4
"Rural King Supply Company",4
Funko,4
"Tbwa Chiat/Day",4
"Warner Center",4
Meundies,4
"Club Monaco",4
Amentum,4
"Beach Front Property Management",4
"Ralph Lauren Retail",4
"85C Bakery Cafe",4
Cuyana,4
"California Children's Academy",4
"Gift Of Garb",4
"Dynamite Agency",4
"Nuvision Federal Credit Union",4
Polaris,4
"The Petstaurant",4
"Anthem Tax Services",4
"Falcon Farms",4
"Beverly Center",4
"Airport Marina Ford",4
"Sugared + Bronzed",4
"Northwell Health",4
"My Wireless",4
Afterpay,4
Goodyear,4
"Urbn Leaf",4
Outerknown,4
"The Coca-Cola Company",4
Safran,4
"Fourth Floor",4
"Mlk Jr Community Hospital",4
"Eggslut GCS",4
